model,platform,matrix_rate,S_tokens,vector_share_pct
Qwen3-235B-A22B,RTX5000,prac,40317,7.6931
Qwen3-235B-A22B,RTX5000,prac,44027,7.9328
Qwen3-235B-A22B,RTX5000,prac,48077,8.1662
Qwen3-235B-A22B,RTX5000,prac,52501,8.3930
Qwen3-235B-A22B,RTX5000,prac,57332,8.6124
Qwen3-235B-A22B,RTX5000,prac,62607,8.8241
Qwen3-235B-A22B,RTX5000,prac,68367,9.0276
Qwen3-235B-A22B,RTX5000,prac,74657,9.2227
Qwen3-235B-A22B,RTX5000,prac,81527,9.4092
Qwen3-235B-A22B,RTX5000,prac,89028,9.5869
Qwen3-235B-A22B,RTX5000,prac,97219,9.7559
Qwen3-235B-A22B,RTX5000,prac,106164,9.9162
Qwen3-235B-A22B,RTX5000,prac,115932,10.0677
Qwen3-235B-A22B,RTX5000,prac,126599,10.2108
Qwen3-235B-A22B,RTX5000,prac,138247,10.3456
Qwen3-235B-A22B,RTX5000,prac,150967,10.4722
Qwen3-235B-A22B,RTX5000,prac,164857,10.5910
Qwen3-235B-A22B,RTX5000,prac,180026,10.7023
Qwen3-235B-A22B,RTX5000,prac,196590,10.8063
Qwen3-235B-A22B,RTX5000,prac,214678,10.9034
Qwen3-235B-A22B,RTX5000,prac,234430,10.9940
Qwen3-235B-A22B,RTX5000,prac,255999,11.0782
